player_name,game_date,team,starter,injury_status,health_status,suspension_status,family_context,expected_minutes,salary_dk,salary_fd,implied_team_total,game_total,spread,rest_days,travel_miles
Anthony Black,2026-03-05,ORL,1.0,,,,,,,,,,,,
Desmond Bane,2026-03-05,ORL,1.0,,,,,,,,,,,,
Franz Wagner,2026-03-05,ORL,0.0,,,,,,,,,,,,
Goga Bitadze,2026-03-05,ORL,0.0,,,,,,,,,,,,
Jalen Suggs,2026-03-05,ORL,1.0,,,,,,,,,,,,
Jamal Cain,2026-03-05,ORL,0.0,,,,,,,,,,,,
Jase Richardson,2026-03-05,ORL,0.0,,,,,,,,,,,,
Jett Howard,2026-03-05,ORL,0.0,,,,,,,,,,,,
Jevon Carter,2026-03-05,ORL,0.0,,,,,,,,,,,,
Jonathan Isaac,2026-03-05,ORL,0.0,,,,,,,,,,,,
Moritz Wagner,2026-03-05,ORL,0.0,,,,,,,,,,,,
Noah Penda,2026-03-05,ORL,0.0,,,,,,,,,,,,
Orlando Robinson,2026-03-05,ORL,0.0,,,,,,,,,,,,
Paolo Banchero,2026-03-05,ORL,1.0,,,,,,,,,,,,
Tristan da Silva,2026-03-05,ORL,0.0,,,,,,,,,,,,
Wendell Carter Jr.,2026-03-05,ORL,1.0,,,,,,,,,,,,
AJ Johnson,2026-03-05,DAL,0.0,,,,,,,,,,,,
Anthony Davis,2026-03-05,DAL,0.0,,,,,,,,,,,,
Brandon Williams,2026-03-05,DAL,0.0,,,,,,,,,,,,
Caleb Martin,2026-03-05,DAL,0.0,,,,,,,,,,,,
Cooper Flagg,2026-03-05,DAL,1.0,,,,,,,,,,,,
D'Angelo Russell,2026-03-05,DAL,0.0,,,,,,,,,,,,
Daniel Gafford,2026-03-05,DAL,1.0,,,,,,,,,,,,
Dereck Lively II,2026-03-05,DAL,0.0,,,,,,,,,,,,
Dwight Powell,2026-03-05,DAL,0.0,,,,,,,,,,,,
Jeremiah Robinson-Earl,2026-03-05,DAL,0.0,,,,,,,,,,,,
John Poulakidas,2026-03-05,DAL,0.0,,,,,,,,,,,,
Khris Middleton,2026-03-05,DAL,1.0,,,,,,,,,,,,
Klay Thompson,2026-03-05,DAL,0.0,,,,,,,,,,,,
Marvin Bagley III,2026-03-05,DAL,0.0,,,,,,,,,,,,
Max Christie,2026-03-05,DAL,1.0,,,,,,,,,,,,
Miles Kelly,2026-03-05,DAL,0.0,,,,,,,,,,,,
Moussa Cisse,2026-03-05,DAL,0.0,,,,,,,,,,,,
Naji Marshall,2026-03-05,DAL,0.0,,,,,,,,,,,,
P.J. Washington,2026-03-05,DAL,1.0,,,,,,,,,,,,
Ryan Nembhard,2026-03-05,DAL,0.0,,,,,,,,,,,,
Tyus Jones,2026-03-05,DAL,0.0,,,,,,,,,,,,
Alex Sarr,2026-03-05,WAS,0.0,,,,,,,,,,,,
Alondes Williams,2026-03-05,WAS,0.0,,,,,,,,,,,,
Anthony Gill,2026-03-05,WAS,0.0,,,,,,,,,,,,
Bilal Coulibaly,2026-03-05,WAS,1.0,,,,,,,,,,,,
Bub Carrington,2026-03-05,WAS,0.0,,,,,,,,,,,,
Cam Whitmore,2026-03-05,WAS,0.0,,,,,,,,,,,,
Jaden Hardy,2026-03-05,WAS,0.0,,,,,,,,,,,,
Jamir Watkins,2026-03-05,WAS,0.0,,,,,,,,,,,,
Julian Reese,2026-03-05,WAS,1.0,,,,,,,,,,,,
Justin Champagnie,2026-03-05,WAS,0.0,,,,,,,,,,,,
Kadary Richmond,2026-03-05,WAS,0.0,,,,,,,,,,,,
Keshon Gilbert,2026-03-05,WAS,0.0,,,,,,,,,,,,
Kyshawn George,2026-03-05,WAS,0.0,,,,,,,,,,,,
Leaky Black,2026-03-05,WAS,1.0,,,,,,,,,,,,
