game_id,player_name,game_date,home,opponent,team,position,starter,minutes,field_goals_made,field_goals_attempted,three_points_made,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,points,free_throws_made,free_throws_attempted,personal_fouls,plus_minus,team_ortg,team_drtg,team_pace,opp_ortg,opp_drtg,opp_pace,player_usg_pct,player_ts_pct,player_per
0022500358,A.J. Lawson,2025-12-07,1,BOS,TOR,,0,13.465,4,8,2,5,1,4,0,0,0,0,10,0,0,5,-5.0,,,,,,,,,
0022501202,A.J. Lawson,2025-12-09,1,NYK,TOR,,0,2.8833333333333333,0,2,0,0,0,0,0,0,2,0,2,2,2,0,-2.0,,,,,,,,,
0022500425,A.J. Lawson,2025-12-26,0,WAS,TOR,,0,7.0,0,1,0,1,0,1,0,1,0,0,2,2,2,0,-7.0,,,,,,,,,
0022500532,A.J. Lawson,2026-01-09,0,BOS,TOR,,0,5.833333333333333,1,4,1,1,1,0,0,0,0,0,3,0,0,0,2.0,,,,,,,,,
0022500550,A.J. Lawson,2026-01-11,1,PHI,TOR,,0,9.666666666666666,1,4,0,2,1,1,0,2,0,1,2,0,0,2,4.0,,,,,,,,,
0022500560,A.J. Lawson,2026-01-12,1,PHI,TOR,,0,17.25,5,9,3,1,0,1,1,0,0,0,14,1,1,2,1.0,,,,,,,,,
0022500571,A.J. Lawson,2026-01-14,0,IND,TOR,,0,16.946666666666665,2,5,1,6,1,5,0,0,1,0,5,0,0,2,-18.0,,,,,,,,,
0022500590,A.J. Lawson,2026-01-16,1,LAC,TOR,,0,12.9,0,2,0,3,2,1,2,1,0,2,0,0,0,2,-2.0,,,,,,,,,
0022500607,A.J. Lawson,2026-01-18,0,LAL,TOR,,0,6.416666666666667,1,3,1,1,0,1,0,0,0,0,5,2,2,1,-2.0,,,,,,,,,
0022500618,A.J. Lawson,2026-01-20,0,GSW,TOR,,0,10.533333333333333,2,3,0,1,0,1,0,0,0,0,6,2,2,0,3.0,,,,,,,,,
0022500626,A.J. Lawson,2026-01-21,0,SAC,TOR,,0,3.3166666666666664,0,0,0,1,1,0,0,0,0,1,0,0,0,1,-4.0,,,,,,,,,
0022500736,A.J. Lawson,2026-02-05,1,CHI,TOR,,0,0.43666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
0022500759,A.J. Lawson,2026-02-08,1,IND,TOR,,0,2.4833333333333334,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1.0,,,,,,,,,
0022500887,A.J. Lawson,2026-03-03,1,NYK,TOR,,0,0.8350000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
0022500086,AJ Green,2025-10-22,1,WAS,MIL,SG,1,27.2,4,6,3,3,0,3,1,0,0,0,11,0,0,3,9.0,,,,,,,,,
0022500092,AJ Green,2025-10-24,0,TOR,MIL,SG,1,25.566666666666666,3,5,3,1,0,1,0,1,0,1,9,0,0,2,8.0,,,,,,,,,
0022500107,AJ Green,2025-10-26,0,CLE,MIL,SG,1,30.95,6,9,4,2,0,2,2,0,0,3,20,4,5,4,3.0,,,,,,,,,
0022500125,AJ Green,2025-10-28,1,NYK,MIL,SG,1,23.633333333333333,3,5,3,4,0,4,0,0,0,1,9,0,0,4,13.0,,,,,,,,,
0022500139,AJ Green,2025-10-30,1,GSW,MIL,SG,1,32.95,3,7,3,2,0,2,0,1,0,1,10,1,2,3,4.0,,,,,,,,,
0022500142,AJ Green,2025-11-01,1,SAC,MIL,SG,1,29.8,6,12,4,4,0,4,2,0,0,0,17,1,2,5,-2.0,,,,,,,,,
0022500157,AJ Green,2025-11-03,0,IND,MIL,SG,1,29.3,4,8,4,1,0,1,3,0,0,1,13,1,2,4,3.0,,,,,,,,,
0022500165,AJ Green,2025-11-04,0,TOR,MIL,SG,1,16.783333333333335,3,4,3,1,0,1,1,0,0,0,9,0,0,4,-17.0,,,,,,,,,
0022500035,AJ Green,2025-11-07,1,CHI,MIL,SG,1,34.568333333333335,2,8,2,4,1,3,5,0,1,1,6,0,0,3,17.0,,,,,,,,,
0022500191,AJ Green,2025-11-09,1,HOU,MIL,SG,1,26.44,1,5,1,1,0,1,4,2,0,2,3,0,0,3,-6.0,,,,,,,,,
0022500203,AJ Green,2025-11-10,0,DAL,MIL,SG,1,27.166666666666668,4,9,4,5,0,5,2,1,0,0,13,1,1,5,11.0,,,,,,,,,
0022500213,AJ Green,2025-11-12,0,CHA,MIL,SG,1,26.85,1,4,1,3,0,3,2,0,0,0,3,0,0,2,-9.0,,,,,,,,,
0022500043,AJ Green,2025-11-14,1,CHA,MIL,SG,1,25.5,2,4,2,0,0,0,2,0,0,0,13,7,7,3,25.0,,,,,,,,,
0022500231,AJ Green,2025-11-15,1,LAL,MIL,SG,1,25.1,5,10,5,3,0,3,0,0,0,1,15,0,0,0,-5.0,,,,,,,,,
0022500241,AJ Green,2025-11-17,0,CLE,MIL,SG,1,40.483333333333334,4,10,4,3,0,3,4,1,0,0,12,0,0,3,-10.0,,,,,,,,,
0022500266,AJ Green,2025-11-20,1,PHI,MIL,SG,1,35.8,3,5,3,6,0,6,0,1,0,2,9,0,0,2,-3.0,,,,,,,,,
0022500272,AJ Green,2025-11-22,1,DET,MIL,SG,1,28.433333333333334,5,12,5,2,0,2,2,0,0,0,15,0,0,2,-21.0,,,,,,,,,
0022500288,AJ Green,2025-11-24,1,POR,MIL,SG,1,24.55,2,6,1,2,0,2,0,1,0,1,6,1,2,3,-31.0,,,,,,,,,
0022500062,AJ Green,2025-11-26,0,MIA,MIL,SF,1,36.266666666666666,4,6,4,5,0,5,8,2,0,0,12,0,0,3,5.0,,,,,,,,,
0022500074,AJ Green,2025-11-28,0,NYK,MIL,SG,1,39.25,6,12,6,5,0,5,1,2,0,2,18,0,0,2,-12.0,,,,,,,,,
0022500297,AJ Green,2025-11-29,1,BKN,MIL,SF,1,23.133333333333333,5,7,5,3,0,3,5,0,0,1,15,0,0,1,29.0,,,,,,,,,
0022500311,AJ Green,2025-12-01,0,WAS,MIL,SF,1,30.935,4,6,4,5,0,5,5,0,0,2,13,1,1,2,8.0,,,,,,,,,
0022500331,AJ Green,2025-12-03,1,DET,MIL,SF,1,39.766666666666666,6,12,5,2,0,2,0,1,2,0,19,2,2,2,8.0,,,,,,,,,
0022500348,AJ Green,2025-12-05,1,PHI,MIL,SF,1,15.2,0,4,0,0,0,0,2,0,0,1,0,0,0,1,-17.0,,,,,,,,,
0022500374,AJ Green,2025-12-18,1,TOR,MIL,SF,1,24.416666666666668,2,5,1,2,0,2,1,1,0,1,5,0,0,2,-3.0,,,,,,,,,
0022500400,AJ Green,2025-12-21,0,MIN,MIL,SG,1,23.436666666666667,1,8,1,3,1,2,2,0,0,2,4,1,1,1,-9.0,,,,,,,,,
