player_name,game_date,home,opponent,team,position,starter,age,height_inches,weight_lbs,injury_status,health_status,suspension_status,family_context,expected_minutes,salary_dk,salary_fd,implied_team_total,game_total,spread,rest_days,travel_miles
Andrew Wiggins,2026-03-05,1,BKN,MIA,PF,1.0,,,,Available,Tendinitis,,,,,,,,,2,
Bam Adebayo,2026-03-05,1,BKN,MIA,C,1.0,,,,,,,,,,,,,,2,
Davion Mitchell,2026-03-05,1,BKN,MIA,PG,1.0,,,,Available,Contusion,,,,,,,,,2,
Dru Smith,2026-03-05,1,BKN,MIA,,0.0,,,,Available,Injury/Illness -Left Ankle; Soreness Injury/Illness -Bilateral Knee; Patellar,,,,,,,,,5,
Jahmir Young,2026-03-05,1,BKN,MIA,,0.0,,,,,,,,,,,,,,2,
Jaime Jaquez Jr.,2026-03-05,1,BKN,MIA,,0.0,,,,,,,,,,,,,,2,
Kasparas Jakučionis,2026-03-05,1,BKN,MIA,,0.0,,,,,,,,,,,,,,2,
Kel'el Ware,2026-03-05,1,BKN,MIA,,0.0,,,,,,,,,,,,,,2,
Keshad Johnson,2026-03-05,1,BKN,MIA,,0.0,,,,Out,G League -On Assignment Injury/Illness -Low Back; Injury,,,,,,,,,12,
Myron Gardner,2026-03-05,1,BKN,MIA,,0.0,,,,,,,,,,,,,,2,
Nikola Jović,2026-03-05,1,BKN,MIA,,0.0,,,,,,,,,,,,,,13,
Norman Powell,2026-03-05,1,BKN,MIA,SG,0.0,,,,Out,Injury/Illness -Right Groin; Strain,,,,,,,,,7,
Pelle Larsson,2026-03-05,1,BKN,MIA,SF,1.0,,,,Available,Injury/Illness -Left 3rd Mallet; Finger Injury/Illness -Left Shoulder;,,,,,,,,,2,
Simone Fontecchio,2026-03-05,1,BKN,MIA,,0.0,,,,Out,Injury/Illness -Left Groin; Strain,,,,,,,,,2,
Trevor Keels,2026-03-05,1,BKN,MIA,,0.0,,,,Available,G League -Two-Way,,,,,,,,,12,
Tyler Herro,2026-03-05,1,BKN,MIA,SG,1.0,,,,,,,,,,,,,,2,
Vladislav Goldin,2026-03-05,1,BKN,MIA,,0.0,,,,Out,G League -Two-Way,,,,,,,,,32,
Ben Saraf,2026-03-05,0,MIA,BKN,,0.0,,,,,,,,,,,,,,2,
Danny Wolf,2026-03-05,0,MIA,BKN,,0.0,,,,,,,,,,,,,,2,
Day'Ron Sharpe,2026-03-05,0,MIA,BKN,,0.0,,,,,,,,,,,,,,2,
Drake Powell,2026-03-05,0,MIA,BKN,,0.0,,,,Out,G League -On Assignment,,,,,,,,,7,
E.J. Liddell,2026-03-05,0,MIA,BKN,,0.0,,,,Out,G League -Two-Way,,,,,,,,,32,
Egor Dëmin,2026-03-05,0,MIA,BKN,SG,0.0,,,,,,,,,,,,,,6,
Grant Nelson,2026-03-05,0,MIA,BKN,,0.0,,,,,,,,,,,,,,2,
Jalen Wilson,2026-03-05,0,MIA,BKN,,0.0,,,,,,,,,,,,,,2,
Josh Minott,2026-03-05,0,MIA,BKN,,0.0,,,,,,,,,,,,,,2,
Michael Porter Jr.,2026-03-05,0,MIA,BKN,SF,1.0,,,,,,,,,,,,,,2,
Nic Claxton,2026-03-05,0,MIA,BKN,C,1.0,,,,,,,,,,,,,,2,
Noah Clowney,2026-03-05,0,MIA,BKN,PF,1.0,,,,,,,,,,,,,,2,
Nolan Traore,2026-03-05,0,MIA,BKN,PG,1.0,,,,,,,,,,,,,,2,
Ochai Agbaji,2026-03-05,0,MIA,BKN,,0.0,,,,,,,,,,,,,,2,
Terance Mann,2026-03-05,0,MIA,BKN,SG,1.0,,,,,,,,,,,,,,2,
Tyson Etienne,2026-03-05,0,MIA,BKN,,0.0,,,,Out,G League -Two-Way,,,,,,,,,91,
Ziaire Williams,2026-03-05,0,MIA,BKN,,0.0,,,,,,,,,,,,,,2,
Aaron Holiday,2026-03-05,1,GSW,HOU,,0.0,,,,,,,,,,,,,,3,
Alperen Sengun,2026-03-05,1,GSW,HOU,C,1.0,,,,Questionable,Injury/Illness -N/a; Illness,,,,,,,,,3,
Amen Thompson,2026-03-05,1,GSW,HOU,SG,1.0,,,,Questionable,Injury/Illness -Right Ankle; Sprain,,,,,,,,,3,
Clint Capela,2026-03-05,1,GSW,HOU,,0.0,,,,,,,,,,,,,,3,
Dorian Finney-Smith,2026-03-05,1,GSW,HOU,,0.0,,,,,,,,,,,,,,3,
Isaiah Crawford,2026-03-05,1,GSW,HOU,,0.0,,,,,,,,,,,,,,5,
JD Davison,2026-03-05,1,GSW,HOU,,0.0,,,,,,,,,,,,,,8,
Jabari Smith Jr.,2026-03-05,1,GSW,HOU,PF,1.0,,,,Questionable,Injury/Illness -Right Ankle; Sprain,,,,,,,,,7,
Jae'Sean Tate,2026-03-05,1,GSW,HOU,,0.0,,,,Out,Injury/Illness -Right Knee; Sprain,,,,,,,,,12,
Jeff Green,2026-03-05,1,GSW,HOU,,0.0,,,,,,,,,,,,,,5,
Josh Okogie,2026-03-05,1,GSW,HOU,,0.0,,,,,,,,,,,,,,3,
Kevin Durant,2026-03-05,1,GSW,HOU,PF,1.0,,,,,,,,,,,,,,3,
Reed Sheppard,2026-03-05,1,GSW,HOU,PG,0.0,,,,,,,,,,,,,,3,
Steven Adams,2026-03-05,1,GSW,HOU,C,0.0,,,,Out,Injury/Illness -Left Ankle; Surgery,,,,,,,,,46,
Tari Eason,2026-03-05,1,GSW,HOU,SF,1.0,,,,,,,,,,,,,,3,
Al Horford,2026-03-05,0,HOU,GSW,C,1.0,,,,,,,,,,,,,,3,
Brandin Podziemski,2026-03-05,0,HOU,GSW,PG,1.0,,,,,,,,,,,,,,3,
De'Anthony Melton,2026-03-05,0,HOU,GSW,SG,1.0,,,,,,,,,,,,,,3,
Draymond Green,2026-03-05,0,HOU,GSW,PF,1.0,,,,,,,,,,,,,,3,
Gary Payton II,2026-03-05,0,HOU,GSW,,0.0,,,,Questionable,Impingement,,,,,,,,,5,
Gui Santos,2026-03-05,0,HOU,GSW,,1.0,,,,,,,,,,,,,,3,
Jimmy Butler III,2026-03-05,0,HOU,GSW,PF,0.0,,,,,,,,,,,,,,45,
Kristaps Porziņģis,2026-03-05,0,HOU,GSW,,0.0,,,,,,,,,,,,,,14,
LJ Cryer,2026-03-05,0,HOU,GSW,,0.0,,,,,,,,,,,,,,39,
Malevy Leons,2026-03-05,0,HOU,GSW,,0.0,,,,,,,,,,,,,,3,
Moses Moody,2026-03-05,0,HOU,GSW,SF,0.0,,,,Out,Injury/Illness -Right Wrist; Sprain Injury/Illness -Left Ankle;,,,,,,,,,3,
Nate Williams,2026-03-05,0,HOU,GSW,,0.0,,,,,,,,,,,,,,3,
Pat Spencer,2026-03-05,0,HOU,GSW,,0.0,,,,,,,,,,,,,,3,
Quinten Post,2026-03-05,0,HOU,GSW,,0.0,,,,,,,,,,,,,,3,
Seth Curry,2026-03-05,0,HOU,GSW,,0.0,,,,Out,Irritation Injury/Illness -Right Patellofemoral;,,,,,,,,,91,
Stephen Curry,2026-03-05,0,HOU,GSW,PG,0.0,,,,Out,Pain Syndrome,,,,,,,,,34,
Will Richard,2026-03-05,0,HOU,GSW,,0.0,,,,Out,Injury/Illness -Right Ankle; Sprain,,,,,,,,,5,
Anthony Black,2026-03-05,1,DAL,ORL,PG,1.0,,,,Questionable,Injury/Illness- Right Quad; Contusion,,,,,,,,,7,
Desmond Bane,2026-03-05,1,DAL,ORL,SG,1.0,,,,,,,,,,,,,,2,
Franz Wagner,2026-03-05,1,DAL,ORL,,0.0,,,,Out,injurymanagement UTA@WAS Utah Jazz NOT YET SUBMITTED,,,,,,,,,22,
Goga Bitadze,2026-03-05,1,DAL,ORL,C,0.0,,,,,,,,,,,,,,2,
Jalen Suggs,2026-03-05,1,DAL,ORL,PG,1.0,,,,,,,,,,,,,,2,
Jamal Cain,2026-03-05,1,DAL,ORL,,0.0,,,,,,,,,,,,,,2,
Jase Richardson,2026-03-05,1,DAL,ORL,,0.0,,,,,,,,,,,,,,2,
Jett Howard,2026-03-05,1,DAL,ORL,,0.0,,,,,,,,,,,,,,2,
Jevon Carter,2026-03-05,1,DAL,ORL,,0.0,,,,,,,,,,,,,,2,
Jonathan Isaac,2026-03-05,1,DAL,ORL,,0.0,,,,Questionable,Injury/Illness- Left Knee; Soreness Injury/Illness- Left High Ankle; Sprain,,,,,,,,,2,
Moritz Wagner,2026-03-05,1,DAL,ORL,,0.0,,,,,,,,,,,,,,2,
