game_date,game,team,opponent,player_name,lineup_status,market,projection,bet_higher_if_line_leq,bet_lower_if_line_geq,confidence_flag,historical_games_used
2026-03-05,NOP @ SAC,SAC,NOP,DeMar DeRozan,expected,PRA,24.97,22.5,27.0,high_confidence,63
2026-03-05,NOP @ SAC,SAC,NOP,DeMar DeRozan,expected,PTS,17.88,16.0,19.5,high_confidence,63
2026-03-05,NOP @ SAC,SAC,NOP,DeMar DeRozan,expected,AST,4.23,3.0,5.5,high_confidence,63
2026-03-05,NOP @ SAC,SAC,NOP,DeMar DeRozan,expected,REB,2.86,1.5,4.0,high_confidence,63
2026-03-05,NOP @ SAC,SAC,NOP,DeMar DeRozan,expected,TO,1.25,0.5,2.0,high_confidence,63
2026-03-05,NOP @ SAC,SAC,NOP,DeMar DeRozan,expected,3PM,0.66,,1.5,high_confidence,63
2026-03-05,NOP @ SAC,SAC,NOP,DeMar DeRozan,expected,STL,0.58,,1.5,high_confidence,63
2026-03-05,NOP @ SAC,SAC,NOP,DeMar DeRozan,expected,BLK,0.5,,1.5,high_confidence,63
2026-03-05,TOR @ MIN,MIN,TOR,Julius Randle,confirmed,PRA,34.65,32.5,37.0,high_confidence,62
2026-03-05,TOR @ MIN,MIN,TOR,Donte DiVincenzo,confirmed,PRA,22.61,20.5,25.0,high_confidence,62
2026-03-05,TOR @ MIN,MIN,TOR,Julius Randle,confirmed,PTS,22.3,20.5,24.0,high_confidence,62
2026-03-05,DET @ SAS,SAS,DET,Julian Champagnie,confirmed,PRA,19.6,17.5,22.0,high_confidence,62
2026-03-05,TOR @ MIN,MIN,TOR,Donte DiVincenzo,confirmed,PTS,13.74,12.0,15.5,high_confidence,62
2026-03-05,DET @ SAS,SAS,DET,Julian Champagnie,confirmed,PTS,12.48,10.5,14.0,high_confidence,62
2026-03-05,TOR @ MIN,MIN,TOR,Julius Randle,confirmed,REB,7.01,6.0,8.5,high_confidence,62
2026-03-05,DET @ SAS,SAS,DET,Julian Champagnie,confirmed,REB,5.67,4.5,7.0,high_confidence,62
2026-03-05,TOR @ MIN,MIN,TOR,Julius Randle,confirmed,AST,5.34,4.0,6.5,high_confidence,62
2026-03-05,TOR @ MIN,MIN,TOR,Donte DiVincenzo,confirmed,AST,4.6,3.5,6.0,high_confidence,62
2026-03-05,TOR @ MIN,MIN,TOR,Donte DiVincenzo,confirmed,REB,4.27,3.0,5.5,high_confidence,62
2026-03-05,TOR @ MIN,MIN,TOR,Donte DiVincenzo,confirmed,3PM,2.9,2.0,3.5,high_confidence,62
2026-03-05,DET @ SAS,SAS,DET,Julian Champagnie,confirmed,3PM,2.8,2.0,3.5,high_confidence,62
2026-03-05,TOR @ MIN,MIN,TOR,Julius Randle,confirmed,TO,2.51,2.0,3.5,high_confidence,62
2026-03-05,TOR @ MIN,MIN,TOR,Donte DiVincenzo,confirmed,TO,1.93,1.0,2.5,high_confidence,62
