game,team,player_name,starter_status,market,projection,bet_higher_if_line_leq,bet_lower_if_line_geq,confidence_flag,historical_games_used
BKN @ MIA,BKN,Egor Dëmin,Estimated (Recent Starter Model),PTS,10.8,9.0,12.5,high_confidence,54
BKN @ MIA,BKN,Egor Dëmin,Estimated (Recent Starter Model),REB,3.75,2.5,5.0,high_confidence,54
BKN @ MIA,BKN,Egor Dëmin,Estimated (Recent Starter Model),AST,2.85,1.5,4.0,high_confidence,54
BKN @ MIA,BKN,Egor Dëmin,Estimated (Recent Starter Model),PRA,17.4,15.0,19.5,high_confidence,54
BKN @ MIA,BKN,Egor Dëmin,Estimated (Recent Starter Model),3PM,2.18,1.5,3.0,high_confidence,54
BKN @ MIA,BKN,Egor Dëmin,Estimated (Recent Starter Model),STL,0.81,,1.5,high_confidence,54
BKN @ MIA,BKN,Egor Dëmin,Estimated (Recent Starter Model),BLK,0.39,,1.0,high_confidence,54
BKN @ MIA,BKN,Egor Dëmin,Estimated (Recent Starter Model),TO,1.46,0.5,2.0,high_confidence,54
BKN @ MIA,BKN,Michael Porter Jr.,Estimated (Recent Starter Model),PTS,22.09,20.5,24.0,high_confidence,49
BKN @ MIA,BKN,Michael Porter Jr.,Estimated (Recent Starter Model),REB,5.96,4.5,7.0,high_confidence,49
BKN @ MIA,BKN,Michael Porter Jr.,Estimated (Recent Starter Model),AST,2.98,1.5,4.0,high_confidence,49
BKN @ MIA,BKN,Michael Porter Jr.,Estimated (Recent Starter Model),PRA,31.02,29.0,33.5,high_confidence,49
BKN @ MIA,BKN,Michael Porter Jr.,Estimated (Recent Starter Model),3PM,2.43,1.5,3.0,high_confidence,49
BKN @ MIA,BKN,Michael Porter Jr.,Estimated (Recent Starter Model),STL,0.87,,1.5,high_confidence,49
BKN @ MIA,BKN,Michael Porter Jr.,Estimated (Recent Starter Model),BLK,0.16,,1.0,high_confidence,49
BKN @ MIA,BKN,Michael Porter Jr.,Estimated (Recent Starter Model),TO,1.57,1.0,2.5,high_confidence,49
BKN @ MIA,BKN,Nic Claxton,Estimated (Recent Starter Model),PTS,11.49,9.5,13.0,high_confidence,55
BKN @ MIA,BKN,Nic Claxton,Estimated (Recent Starter Model),REB,6.67,5.5,8.0,high_confidence,55
BKN @ MIA,BKN,Nic Claxton,Estimated (Recent Starter Model),AST,3.8,2.5,5.0,high_confidence,55
BKN @ MIA,BKN,Nic Claxton,Estimated (Recent Starter Model),PRA,21.97,19.5,24.0,high_confidence,55
BKN @ MIA,BKN,Nic Claxton,Estimated (Recent Starter Model),3PM,0.05,,1.0,high_confidence,55
BKN @ MIA,BKN,Nic Claxton,Estimated (Recent Starter Model),STL,0.67,,1.5,high_confidence,55
BKN @ MIA,BKN,Nic Claxton,Estimated (Recent Starter Model),BLK,1.41,0.5,2.0,high_confidence,55
BKN @ MIA,BKN,Nic Claxton,Estimated (Recent Starter Model),TO,0.83,,1.5,high_confidence,55
BKN @ MIA,BKN,Noah Clowney,Estimated (Recent Starter Model),PTS,13.04,11.5,15.0,high_confidence,55
BKN @ MIA,BKN,Noah Clowney,Estimated (Recent Starter Model),REB,5.44,4.0,6.5,high_confidence,55
BKN @ MIA,BKN,Noah Clowney,Estimated (Recent Starter Model),AST,1.69,0.5,3.0,high_confidence,55
BKN @ MIA,BKN,Noah Clowney,Estimated (Recent Starter Model),PRA,20.16,18.0,22.5,high_confidence,55
BKN @ MIA,BKN,Noah Clowney,Estimated (Recent Starter Model),3PM,1.92,1.0,2.5,high_confidence,55
BKN @ MIA,BKN,Noah Clowney,Estimated (Recent Starter Model),STL,0.71,,1.5,high_confidence,55
BKN @ MIA,BKN,Noah Clowney,Estimated (Recent Starter Model),BLK,0.6,,1.5,high_confidence,55
BKN @ MIA,BKN,Noah Clowney,Estimated (Recent Starter Model),TO,1.36,0.5,2.0,high_confidence,55
BKN @ MIA,BKN,Nolan Traore,Estimated (Recent Starter Model),PTS,12.78,11.0,14.5,high_confidence,39
BKN @ MIA,BKN,Nolan Traore,Estimated (Recent Starter Model),REB,2.27,1.0,3.5,high_confidence,39
BKN @ MIA,BKN,Nolan Traore,Estimated (Recent Starter Model),AST,3.51,2.5,5.0,high_confidence,39
BKN @ MIA,BKN,Nolan Traore,Estimated (Recent Starter Model),PRA,18.56,16.5,21.0,high_confidence,39
BKN @ MIA,BKN,Nolan Traore,Estimated (Recent Starter Model),3PM,1.26,0.5,2.0,high_confidence,39
BKN @ MIA,BKN,Nolan Traore,Estimated (Recent Starter Model),STL,0.68,,1.5,high_confidence,39
BKN @ MIA,BKN,Nolan Traore,Estimated (Recent Starter Model),BLK,0.3,,1.0,high_confidence,39
BKN @ MIA,BKN,Nolan Traore,Estimated (Recent Starter Model),TO,3.38,2.5,4.0,high_confidence,39
BKN @ MIA,MIA,Andrew Wiggins,Estimated (Recent Starter Model),PTS,14.84,13.0,16.5,high_confidence,56
BKN @ MIA,MIA,Andrew Wiggins,Estimated (Recent Starter Model),REB,5.26,4.0,6.5,high_confidence,56
BKN @ MIA,MIA,Andrew Wiggins,Estimated (Recent Starter Model),AST,2.77,1.5,4.0,high_confidence,56
BKN @ MIA,MIA,Andrew Wiggins,Estimated (Recent Starter Model),PRA,22.87,20.5,25.0,high_confidence,56
BKN @ MIA,MIA,Andrew Wiggins,Estimated (Recent Starter Model),3PM,1.95,1.0,2.5,high_confidence,56
BKN @ MIA,MIA,Andrew Wiggins,Estimated (Recent Starter Model),STL,0.98,,1.5,high_confidence,56
BKN @ MIA,MIA,Andrew Wiggins,Estimated (Recent Starter Model),BLK,1.64,1.0,2.5,high_confidence,56
BKN @ MIA,MIA,Andrew Wiggins,Estimated (Recent Starter Model),TO,1.64,1.0,2.5,high_confidence,56
BKN @ MIA,MIA,Bam Adebayo,Estimated (Recent Starter Model),PTS,20.19,18.5,22.0,high_confidence,54
BKN @ MIA,MIA,Bam Adebayo,Estimated (Recent Starter Model),REB,9.92,8.5,11.0,high_confidence,54
BKN @ MIA,MIA,Bam Adebayo,Estimated (Recent Starter Model),AST,3.14,2.0,4.5,high_confidence,54
BKN @ MIA,MIA,Bam Adebayo,Estimated (Recent Starter Model),PRA,33.25,31.0,35.5,high_confidence,54
BKN @ MIA,MIA,Bam Adebayo,Estimated (Recent Starter Model),3PM,1.54,1.0,2.5,high_confidence,54
BKN @ MIA,MIA,Bam Adebayo,Estimated (Recent Starter Model),STL,2.85,2.0,3.5,high_confidence,54
BKN @ MIA,MIA,Bam Adebayo,Estimated (Recent Starter Model),BLK,0.67,,1.5,high_confidence,54
BKN @ MIA,MIA,Bam Adebayo,Estimated (Recent Starter Model),TO,1.46,0.5,2.0,high_confidence,54
BKN @ MIA,MIA,Davion Mitchell,Estimated (Recent Starter Model),PTS,9.18,7.5,11.0,high_confidence,51
BKN @ MIA,MIA,Davion Mitchell,Estimated (Recent Starter Model),REB,2.65,1.5,4.0,high_confidence,51
BKN @ MIA,MIA,Davion Mitchell,Estimated (Recent Starter Model),AST,5.86,4.5,7.0,high_confidence,51
BKN @ MIA,MIA,Davion Mitchell,Estimated (Recent Starter Model),PRA,17.69,15.5,20.0,high_confidence,51
BKN @ MIA,MIA,Davion Mitchell,Estimated (Recent Starter Model),3PM,1.31,0.5,2.0,high_confidence,51
BKN @ MIA,MIA,Davion Mitchell,Estimated (Recent Starter Model),STL,1.06,0.5,2.0,high_confidence,51
BKN @ MIA,MIA,Davion Mitchell,Estimated (Recent Starter Model),BLK,0.19,,1.0,high_confidence,51
BKN @ MIA,MIA,Davion Mitchell,Estimated (Recent Starter Model),TO,1.18,0.5,2.0,high_confidence,51
BKN @ MIA,MIA,Norman Powell,Estimated (Recent Starter Model),PTS,21.43,19.5,23.0,high_confidence,51
BKN @ MIA,MIA,Norman Powell,Estimated (Recent Starter Model),REB,3.47,2.0,4.5,high_confidence,51
BKN @ MIA,MIA,Norman Powell,Estimated (Recent Starter Model),AST,2.42,1.0,3.5,high_confidence,51
BKN @ MIA,MIA,Norman Powell,Estimated (Recent Starter Model),PRA,27.32,25.0,29.5,high_confidence,51
BKN @ MIA,MIA,Norman Powell,Estimated (Recent Starter Model),3PM,2.45,1.5,3.0,high_confidence,51
BKN @ MIA,MIA,Norman Powell,Estimated (Recent Starter Model),STL,1.11,0.5,2.0,high_confidence,51
BKN @ MIA,MIA,Norman Powell,Estimated (Recent Starter Model),BLK,0.17,,1.0,high_confidence,51
BKN @ MIA,MIA,Norman Powell,Estimated (Recent Starter Model),TO,1.85,1.0,2.5,high_confidence,51
BKN @ MIA,MIA,Pelle Larsson,Estimated (Recent Starter Model),PTS,10.54,9.0,12.5,high_confidence,51
BKN @ MIA,MIA,Pelle Larsson,Estimated (Recent Starter Model),REB,3.53,2.5,5.0,high_confidence,51
BKN @ MIA,MIA,Pelle Larsson,Estimated (Recent Starter Model),AST,3.5,2.5,5.0,high_confidence,51
BKN @ MIA,MIA,Pelle Larsson,Estimated (Recent Starter Model),PRA,17.57,15.5,20.0,high_confidence,51
BKN @ MIA,MIA,Pelle Larsson,Estimated (Recent Starter Model),3PM,0.97,,1.5,high_confidence,51
BKN @ MIA,MIA,Pelle Larsson,Estimated (Recent Starter Model),STL,0.86,,1.5,high_confidence,51
BKN @ MIA,MIA,Pelle Larsson,Estimated (Recent Starter Model),BLK,0.29,,1.0,high_confidence,51
BKN @ MIA,MIA,Pelle Larsson,Estimated (Recent Starter Model),TO,1.45,0.5,2.0,high_confidence,51
CHI @ PHX,CHI,Isaac Okoro,Estimated (Recent Starter Model),PTS,9.97,8.0,11.5,high_confidence,53
CHI @ PHX,CHI,Isaac Okoro,Estimated (Recent Starter Model),REB,3.1,2.0,4.5,high_confidence,53
CHI @ PHX,CHI,Isaac Okoro,Estimated (Recent Starter Model),AST,1.78,0.5,3.0,high_confidence,53
CHI @ PHX,CHI,Isaac Okoro,Estimated (Recent Starter Model),PRA,14.85,12.5,17.0,high_confidence,53
CHI @ PHX,CHI,Isaac Okoro,Estimated (Recent Starter Model),3PM,1.02,0.5,2.0,high_confidence,53
CHI @ PHX,CHI,Isaac Okoro,Estimated (Recent Starter Model),STL,0.7,,1.5,high_confidence,53
CHI @ PHX,CHI,Isaac Okoro,Estimated (Recent Starter Model),BLK,0.36,,1.0,high_confidence,53
CHI @ PHX,CHI,Isaac Okoro,Estimated (Recent Starter Model),TO,0.48,,1.0,high_confidence,53
CHI @ PHX,CHI,Josh Giddey,Estimated (Recent Starter Model),PTS,17.77,16.0,19.5,high_confidence,41
CHI @ PHX,CHI,Josh Giddey,Estimated (Recent Starter Model),REB,8.05,7.0,9.5,high_confidence,41
CHI @ PHX,CHI,Josh Giddey,Estimated (Recent Starter Model),AST,8.07,7.0,9.5,high_confidence,41
CHI @ PHX,CHI,Josh Giddey,Estimated (Recent Starter Model),PRA,33.9,31.5,36.0,high_confidence,41
CHI @ PHX,CHI,Josh Giddey,Estimated (Recent Starter Model),3PM,2.26,1.5,3.0,high_confidence,41
CHI @ PHX,CHI,Josh Giddey,Estimated (Recent Starter Model),STL,1.0,,1.5,high_confidence,41
CHI @ PHX,CHI,Josh Giddey,Estimated (Recent Starter Model),BLK,0.56,,1.5,high_confidence,41
CHI @ PHX,CHI,Josh Giddey,Estimated (Recent Starter Model),TO,3.51,3.0,4.5,high_confidence,41
CHI @ PHX,CHI,Matas Buzelis,Estimated (Recent Starter Model),PTS,15.0,13.0,16.5,high_confidence,64
CHI @ PHX,CHI,Matas Buzelis,Estimated (Recent Starter Model),REB,5.48,4.0,6.5,high_confidence,64
CHI @ PHX,CHI,Matas Buzelis,Estimated (Recent Starter Model),AST,2.2,1.0,3.5,high_confidence,64
CHI @ PHX,CHI,Matas Buzelis,Estimated (Recent Starter Model),PRA,22.69,20.5,25.0,high_confidence,64
