         6729246 function calls (6614987 primitive calls) in 3.514 seconds

   Ordered by: cumulative time
   List reduced from 1520 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.076    0.076    3.514    3.514 app.py:3007(build_player_board)
        1    0.030    0.030    2.998    2.998 app.py:2563(_load_recent_form_metrics)
     1230    0.022    0.000    2.499    0.002 app.py:2602(summarize_recent)
     4920    0.021    0.000    1.103    0.000 app.py:2613(std_value)
20645/19298    0.127    0.000    0.922    0.000 series.py:392(__init__)
     6155    0.007    0.000    0.566    0.000 series.py:5805(notna)
     4920    0.013    0.000    0.563    0.000 app.py:2610(mean_value)
     6155    0.014    0.000    0.559    0.000 generic.py:8787(notna)
    11172    0.042    0.000    0.556    0.000 numeric.py:47(to_numeric)
     6293    0.005    0.000    0.522    0.000 missing.py:380(notna)
    17072    0.033    0.000    0.470    0.000 series.py:6439(_reduce)
       14    0.000    0.000    0.405    0.029 series.py:4639(map)
       14    0.000    0.000    0.404    0.029 base.py:895(_map_values)
       14    0.015    0.001    0.404    0.029 algorithms.py:1667(map_array)
15674/10914    0.030    0.000    0.337    0.000 nanops.py:111(f)
11849/11847    0.004    0.000    0.335    0.000 missing.py:101(isna)
11849/11847    0.022    0.000    0.331    0.000 missing.py:184(_isna)
    12510    0.030    0.000    0.302    0.000 frame.py:4073(__getitem__)
     1231    0.011    0.000    0.299    0.000 frame.py:7019(sort_values)
    61036    0.096    0.000    0.243    0.000 generic.py:6323(__setattr__)
    12497    0.022    0.000    0.240    0.000 frame.py:4637(_get_item_cache)
     4760    0.003    0.000    0.240    0.000 series.py:6604(std)
     9685    0.029    0.000    0.239    0.000 nanops.py:76(_f)
     4760    0.005    0.000    0.237    0.000 generic.py:12415(std)
     4760    0.011    0.000    0.232    0.000 generic.py:12359(_stat_function_ddof)
    21476    0.064    0.000    0.228    0.000 player_matching.py:10(normalize_player_name)
     7858    0.016    0.000    0.215    0.000 frame.py:3994(_ixs)
     6176    0.017    0.000    0.212    0.000 generic.py:1568(__invert__)
    21471    0.055    0.000    0.208    0.000 construction.py:517(sanitize_array)
1297219/1277733    0.152    0.000    0.208    0.000 {built-in method builtins.isinstance}
     4760    0.018    0.000    0.194    0.000 nanops.py:908(nanstd)
     1347    0.005    0.000    0.183    0.000 series.py:610(_init_dict)
     6152    0.004    0.000    0.173    0.000 series.py:6562(mean)
     6153    0.007    0.000    0.170    0.000 generic.py:12478(mean)
    11079    0.019    0.000    0.169    0.000 nanops.py:389(new_func)
     6154    0.009    0.000    0.163    0.000 generic.py:12427(_stat_function)
     1408    0.005    0.000    0.160    0.000 generic.py:6684(copy)
     8061    0.035    0.000    0.148    0.000 managers.py:317(apply)
    39202    0.090    0.000    0.144    0.000 generic.py:281(__init__)
     1424    0.006    0.000    0.141    0.000 managers.py:576(copy)
    64428    0.026    0.000    0.123    0.000 re.py:203(sub)
    19289    0.036    0.000    0.121    0.000 managers.py:1882(from_array)
     4924    0.003    0.000    0.116    0.000 series.py:6540(sum)
     4760    0.034    0.000    0.115    0.000 nanops.py:954(nanvar)
     7850    0.017    0.000    0.114    0.000 frame.py:4619(_box_col_values)
