player_name,team,opponent,starter,injury_status,confidence_tier,confidence_pct,adjusted_err_pct,error_margin_points,predicted_points,predicted_rebounds,predicted_assists,predicted_pra,predicted_draftkings_points,predicted_fanduel_points
AJ Johnson,DAL,ORL,0.0,,low,0.0,113.26,4.15,3.66,1.48,1.13,6.28,7.61,7.37
Aaron Holiday,HOU,GSW,0.0,,low,9.88,90.12,5.23,5.8,1.1,0.85,7.75,9.65,9.26
Ace Bailey,UTA,WAS,1.0,,low,46.3,53.7,7.45,13.88,4.82,2.04,20.74,26.12,25.77
Adou Thiero,LAL,DEN,0.0,,low,37.02,62.98,1.02,1.61,0.88,0.34,2.84,3.91,4.09
Al Horford,GSW,HOU,1.0,,low,54.63,45.37,3.9,8.59,5.08,2.34,16.02,23.19,23.66
Alondes Williams,WAS,UTA,0.0,,low,41.4,58.6,7.16,12.22,6.03,2.67,20.92,26.58,26.41
Alperen Sengun,HOU,GSW,1.0,Questionable,medium,65.89,34.11,6.94,20.35,10.19,6.46,36.99,48.05,46.9
Amen Thompson,HOU,GSW,1.0,Questionable,high,75.16,24.84,4.58,18.45,8.37,5.09,31.9,38.88,38.74
Amir Coffey,PHX,CHI,0.0,,low,5.88,94.12,3.01,3.2,1.6,0.7,5.5,7.04,7.03
Andrew Wiggins,MIA,BKN,1.0,Available,high,72.24,27.76,4.23,15.23,5.13,2.93,23.3,30.63,30.78
Anthony Black,ORL,DAL,1.0,Questionable,medium,64.62,35.38,5.13,14.51,3.83,4.59,22.92,30.2,30.05
Anthony Davis,DAL,ORL,0.0,,medium,65.54,34.46,6.05,17.54,8.23,2.47,28.25,36.14,37.29
Anthony Edwards,MIN,TOR,1.0,Questionable,high,76.96,23.04,5.99,26.0,4.96,3.14,34.1,41.41,40.15
Anthony Gill,WAS,UTA,0.0,Questionable,low,0.0,119.75,8.68,7.25,3.58,1.85,12.68,16.1,16.32
Ausar Thompson,DET,SAS,1.0,,high,72.36,27.64,2.75,9.95,5.93,3.23,19.1,27.39,29.24
Austin Reaves,LAL,DEN,1.0,,high,72.88,27.12,5.49,20.23,5.41,5.45,31.09,37.53,36.18
Ayo Dosunmu,MIN,TOR,0.0,,medium,65.72,34.28,4.56,13.3,2.57,3.8,19.67,24.45,23.87
Bam Adebayo,MIA,BKN,1.0,,high,71.25,28.75,5.43,18.89,9.96,2.86,31.71,40.39,40.64
Ben Saraf,BKN,MIA,0.0,,low,38.17,61.83,3.42,5.53,1.87,2.61,10.0,12.82,12.38
Bilal Coulibaly,WAS,UTA,1.0,,medium,56.15,43.85,6.01,13.7,5.3,3.05,22.05,30.65,32.07
