player_name,team,opponent,injury_status,confidence_flag,historical_games_used,estimated_error_pct,points_error_band,predicted_points,predicted_rebounds,predicted_assists,predicted_three_points_made,predicted_pra,predicted_draftkings_points,predicted_fanduel_points
Nikola Jokić,DEN,LAL,,high_confidence,47,16.38,4.48,27.33,10.74,9.46,1.85,47.54,58.91,55.92
Luka Dončić,LAL,DEN,,high_confidence,50,20.35,6.34,31.17,7.93,8.29,3.34,47.39,56.8,54.66
Cade Cunningham,DET,SAS,,high_confidence,56,26.55,7.19,27.07,6.09,10.11,1.69,43.26,54.67,52.35
Victor Wembanyama,SAS,DET,,high_confidence,50,24.63,5.37,21.8,13.3,2.99,1.18,38.09,53.79,54.65
Jamal Murray,DEN,LAL,,high_confidence,59,37.45,10.19,27.22,4.92,7.45,3.4,39.59,47.51,45.73
Alperen Sengun,HOU,GSW,Questionable,high_confidence,55,45.24,9.33,20.63,9.94,6.45,0.46,37.02,45.93,45.78
Paolo Banchero,ORL,DAL,,high_confidence,50,32.79,7.77,23.69,8.84,5.51,1.24,38.04,45.04,43.86
Anthony Edwards,MIN,TOR,Questionable,high_confidence,54,33.21,9.12,27.47,5.41,3.54,3.51,36.42,44.75,43.79
Kevin Durant,HOU,GSW,,high_confidence,59,43.06,11.95,27.75,5.54,4.42,2.18,37.71,44.09,42.86
Scottie Barnes,TOR,MIN,,high_confidence,61,28.9,6.04,20.89,7.59,5.56,0.73,34.05,43.42,44.17
Bam Adebayo,MIA,BKN,,high_confidence,54,41.29,8.35,20.24,10.12,3.03,1.62,33.39,42.43,40.49
LeBron James,LAL,DEN,,high_confidence,45,30.9,6.76,21.88,5.81,6.88,1.52,34.58,41.77,40.75
Michael Porter Jr.,BKN,MIA,,high_confidence,49,34.21,8.42,24.61,6.34,3.18,3.99,34.13,41.19,39.33
Trey Murphy III,NOP,SAC,,high_confidence,54,36.35,8.36,22.99,5.61,4.25,3.91,32.84,40.92,39.43
Julius Randle,MIN,TOR,,high_confidence,62,30.07,6.71,22.3,7.01,5.34,1.23,34.65,40.66,39.56
Keyonte George,UTA,WAS,,high_confidence,51,46.99,10.75,22.87,3.72,5.9,2.93,32.49,39.91,38.53
Walker Kessler,UTA,WAS,,high_confidence,5,54.43,7.71,14.17,12.05,2.07,1.04,28.29,39.59,38.83
Lauri Markkanen,UTA,WAS,,high_confidence,42,29.36,7.46,25.4,6.16,2.1,2.26,33.66,39.31,38.42
Brandon Ingram,TOR,MIN,Questionable,high_confidence,61,41.67,10.01,24.03,5.4,3.69,1.69,33.12,39.0,38.18
Jalen Duren,DET,SAS,,high_confidence,52,36.31,7.08,19.51,11.13,1.64,0.15,32.28,38.97,37.17
