player_name,team,opponent,confidence_tier,confidence_pct,adjusted_err_pct,error_margin_points,predicted_points,predicted_rebounds,predicted_assists,predicted_pra,predicted_draftkings_points,predicted_fanduel_points,injury_status,expected_minutes,starter,historical_games_used
Colby Jones,DET,SAS,high,95.0,5.0,0.1,1.9,4.0,1.96,7.86,9.89,9.66,,5.6,0.0,1
John Poulakidas,DAL,ORL,high,95.0,5.0,0.01,0.23,5.04,1.95,7.22,9.04,8.33,doubtful,5.3,0.0,1
Trevor Keels,MIA,BKN,high,95.0,5.0,0.01,0.25,0.99,0.06,1.31,1.62,1.57,available,2.0,0.0,1
Nikola Jokić,DEN,LAL,high,90.29,9.71,2.72,28.05,10.63,9.4,48.08,59.32,56.05,,34.7,1.0,47
Luka Dončić,LAL,DEN,high,88.55,11.45,3.27,28.59,7.76,8.47,44.81,54.31,52.39,,31.4,1.0,50
Victor Wembanyama,SAS,DET,high,84.94,15.06,3.29,21.82,13.27,2.54,37.64,54.04,55.5,,27.5,1.0,50
Cade Cunningham,DET,SAS,high,84.59,15.41,3.8,24.69,6.24,10.44,41.37,54.02,51.86,,32.5,1.0,56
Julius Randle,MIN,TOR,high,81.59,18.41,4.21,22.86,6.97,5.16,35.0,40.44,39.1,,35.6,1.0,62
Scottie Barnes,TOR,MIN,high,81.51,18.49,3.61,19.51,7.7,4.63,31.83,40.31,40.71,,29.1,1.0,61
LeBron James,LAL,DEN,high,80.74,19.26,4.04,20.95,5.99,7.2,34.14,41.74,40.8,,29.1,1.0,45
Josh Giddey,CHI,PHX,high,79.57,20.43,3.33,16.29,6.4,7.12,29.8,37.35,35.72,questionable,19.5,0.0,41
RJ Barrett,TOR,MIN,high,78.74,21.26,3.96,18.61,5.4,3.54,27.56,32.88,31.98,,32.8,1.0,37
Trey Murphy III,NOP,SAC,high,78.11,21.89,5.09,23.27,6.06,4.67,34.01,42.66,41.41,,36.9,1.0,54
Stephon Castle,SAS,DET,high,77.78,22.22,3.65,16.45,4.57,6.35,27.36,34.49,33.99,,23.7,1.0,54
Paolo Banchero,ORL,DAL,high,77.37,22.63,5.25,23.18,9.11,5.45,37.74,44.72,43.36,,39.8,1.0,50
Jamal Murray,DEN,LAL,high,77.35,22.65,5.23,23.08,3.98,7.25,34.3,42.44,40.9,,29.8,1.0,59
Anthony Edwards,MIN,TOR,high,76.96,23.04,5.99,26.0,4.96,3.14,34.1,41.41,40.15,questionable,29.2,1.0,54
Lauri Markkanen,UTA,WAS,high,76.91,23.09,5.82,25.22,6.02,1.87,33.11,38.82,37.56,,23.9,0.0,42
Rudy Gobert,MIN,TOR,high,76.81,23.19,2.38,10.26,10.94,1.49,22.69,33.41,33.88,,34.5,1.0,59
Devin Booker,PHX,CHI,high,76.55,23.45,5.43,23.16,3.61,6.35,33.12,39.17,37.85,,27.5,1.0,47
